TestDataID1,TestDataID2,TestDataID3,Depth,Iterations,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,3,14,3,100,0.05,0.909598407,0.538929833,HOMO,LUMO,ATS0dv,CT100,LabuteASA,Kappa1,MolWt,HeavyAtomMolWt,NumRotatableBonds,SpAbs_A
0,3,15,3,100,0.1,0.993062873,0.807845788,HOMO,CT100,MolWt,MaxAbsPartialCharge,NumRotatableBonds,HeavyAtomMolWt,LUMO,Eads100,TPSA,LabuteASA
0,3,16,3,100,0.05,0.908108607,0.739253319,HOMO,LUMO,LabuteASA,ATS0dv,CT100,HeavyAtomMolWt,NumRotatableBonds,MaxAbsPartialCharge,TPSA,LogEE_A
0,3,17,3,200,0.05,0.993924286,0.70572537,HOMO,ATS0dv,MolWt,CT100,MaxAbsPartialCharge,Eads100,Kappa1,LabuteASA,MinPartialCharge,NumRotatableBonds
0,3,18,3,100,0.1,0.993488517,0.757375743,HOMO,ATS0dv,CT100,LUMO,HeavyAtomMolWt,Kappa1,MaxAbsPartialCharge,MolWt,Eads100,TPSA
0,3,19,3,200,0.05,0.993739196,0.534786159,HOMO,LUMO,CT100,ATS0dv,Kappa1,HeavyAtomMolWt,MaxAbsPartialCharge,MolWt,Eads100,SpAbs_A
0,3,20,3,300,0.01,0.795011592,-1.799080065,HOMO,ATS0dv,LUMO,NumRotatableBonds,MolWt,CT100,Kappa1,MaxAbsPartialCharge,Eads100,MinPartialCharge
0,3,21,3,300,0.05,0.999587027,0.237997678,ATS0dv,HOMO,LUMO,Eads100,CT100,MaxAbsPartialCharge,TPSA,FractionCSP3,MinPartialCharge,LabuteASA
0,3,22,3,100,0.1,0.993718273,0.777566149,HOMO,ATS0dv,HeavyAtomMolWt,CT100,NumRotatableBonds,Eads100,Kappa1,LabuteASA,TPSA,MaxAbsPartialCharge
0,3,23,3,100,0.1,0.993777358,0.646554137,HOMO,Eads100,MolWt,CT100,HeavyAtomMolWt,LUMO,MaxAbsPartialCharge,NumRotatableBonds,LabuteASA,Kappa1
0,3,24,3,200,0.1,0.999879475,0.616067824,HOMO,CT100,HeavyAtomMolWt,Eads100,MaxAbsPartialCharge,MinPartialCharge,MolWt,SpAbs_A,LUMO,ATS0dv
0,3,25,3,100,0.05,0.911272472,0.413721267,HOMO,ATS0dv,CT100,MolWt,HeavyAtomMolWt,NumRotatableBonds,LUMO,MaxAbsPartialCharge,LabuteASA,Eads100
0,3,26,3,200,0.1,0.999926913,0.814754048,HOMO,MaxAbsPartialCharge,HeavyAtomMolWt,CT100,Kappa1,SpAbs_A,NumRotatableBonds,LUMO,ATS0dv,LabuteASA
0,3,27,3,100,0.05,0.915790454,-0.160582973,ATS0dv,HOMO,CT100,LUMO,HeavyAtomMolWt,BalabanJ,MaxAbsPartialCharge,MolWt,LabuteASA,Kappa1
0,3,28,3,100,0.1,0.993694292,0.680374378,Kappa1,HOMO,ATS0dv,MolWt,HeavyAtomMolWt,LabuteASA,CT100,MaxAbsPartialCharge,LogEE_A,SpAbs_A
0,3,29,3,100,0.1,0.994370628,0.728930175,HOMO,CT100,Kappa1,LUMO,ATS0dv,LabuteASA,MaxAbsPartialCharge,HeavyAtomMolWt,Eads100,NumRotatableBonds
0,4,5,3,100,0.05,0.911998312,0.544592777,HOMO,CT100,ATS0dv,MolWt,HeavyAtomMolWt,MaxAbsPartialCharge,LogEE_A,LUMO,NumRotatableBonds,Eads100
0,4,6,3,100,0.05,0.914360817,0.262403796,HOMO,ATS0dv,LUMO,CT100,LabuteASA,NumRotatableBonds,TPSA,Kappa1,HeavyAtomMolWt,MaxAbsPartialCharge
0,4,7,3,100,0.1,0.994429953,0.521823896,HOMO,CT100,ATS0dv,MinPartialCharge,TPSA,MaxAbsPartialCharge,HeavyAtomMolWt,Kappa1,LUMO,LabuteASA
0,4,8,3,100,0.05,0.917847914,0.204102325,HOMO,ATS0dv,CT100,MolWt,LabuteASA,LUMO,LogEE_A,MaxAbsPartialCharge,NumRotatableBonds,MinPartialCharge
0,4,9,3,300,0.01,0.785123648,0.12914424,LUMO,HOMO,BalabanJ,ATS0dv,NumRotatableBonds,FractionCSP3,CT100,HeavyAtomMolWt,MaxAbsPartialCharge,MolWt
0,4,10,3,100,0.1,0.994199956,0.357009018,HOMO,HeavyAtomMolWt,NumRotatableBonds,MaxAbsPartialCharge,TPSA,CT100,LUMO,Eads100,LabuteASA,MolWt
0,4,11,3,100,0.1,0.993981193,0.711560513,HOMO,ATS0dv,MolWt,CT100,MinPartialCharge,HeavyAtomMolWt,NumRotatableBonds,TPSA,Kappa1,MaxAbsPartialCharge
0,4,12,3,100,0.05,0.915516847,0.110308697,HOMO,ATS0dv,MolWt,CT100,LabuteASA,NumRotatableBonds,LUMO,HeavyAtomMolWt,TPSA,MaxAbsPartialCharge
0,4,13,3,300,0.01,0.781892617,0.283940075,HOMO,ATS0dv,LUMO,MolWt,NumRotatableBonds,LabuteASA,BalabanJ,HeavyAtomMolWt,Kappa1,MaxAbsPartialCharge
