TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
14,25,26,3,300,0.01,0.551913284,-0.135182642,LUMO,ATS0dv,HOMO,FractionCSP3,LogEE_A,TPSA,SpAbs_A,MolWt,Kappa1,LabuteASA
14,25,27,3,300,0.01,0.546971059,0.647949376,LUMO,ATS0dv,FractionCSP3,TPSA,HOMO,LogEE_A,MolWt,SpAbs_A,CT100,BalabanJ
14,25,28,3,300,0.01,0.56105632,-3.306295153,LUMO,ATS0dv,HOMO,FractionCSP3,TPSA,MolWt,LogEE_A,SpAbs_A,Kappa1,NumRotatableBonds
14,25,29,3,300,0.01,0.563252056,-37.2524731,LUMO,Eads100,ATS0dv,Chi0,HOMO,FractionCSP3,TPSA,SpAbs_A,LogEE_A,MolWt
14,26,27,3,300,0.1,0.999999987,0.705041724,ATS0dv,NumRotatableBonds,SpAbs_A,LabuteASA,PEOE_VSA1,HOMO,LogEE_A,Chi0,Kappa1,FractionCSP3
14,26,28,3,300,0.1,0.999999988,0.121581115,PEOE_VSA1,NumRotatableBonds,ATS0dv,SpAbs_A,LabuteASA,LogEE_A,HOMO,Chi0,TPSA,LUMO
14,26,29,3,300,0.01,0.539750577,-0.039783059,Eads100,Chi0,LUMO,ATS0dv,HOMO,FractionCSP3,LabuteASA,SpAbs_A,MolWt,TPSA
14,27,28,7,300,0.01,0.537977878,0.748614256,LUMO,FractionCSP3,ATS0dv,HOMO,Kappa1,LogEE_A,MolWt,SpAbs_A,HeavyAtomMolWt,LabuteASA
14,27,29,3,300,0.01,0.52896904,0.89756228,Eads100,ATS0dv,Chi0,LUMO,FractionCSP3,HOMO,Kappa1,LabuteASA,LogEE_A,TPSA
14,28,29,7,300,0.01,0.558399093,-1.256584678,ATS0dv,FractionCSP3,Chi0,LUMO,HOMO,Eads100,Kappa1,LogEE_A,HeavyAtomMolWt,SpAbs_A
15,16,17,7,200,0.1,0.999999801,-0.982595072,ATS0dv,Kappa1,HOMO,SpAbs_A,SlogP_VSA1,LogEE_A,NumRotatableBonds,MolWt,Eads100,CT100
