TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,MinSamplesSplit,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
6,9,25,3,300,10,0.731205231,-1.498277246,LUMO,HOMO,ATS0dv,NumRotatableBonds,CT100,MinPartialCharge,MaxAbsPartialCharge,BalabanJ,MolWt,HeavyAtomMolWt
6,9,26,3,100,10,0.721873031,-2.223664264,LUMO,HOMO,CT100,NumRotatableBonds,MinPartialCharge,ATS0dv,MolWt,BalabanJ,HeavyAtomMolWt,Eads100
6,9,27,3,100,10,0.730416419,-0.015429068,LUMO,HOMO,ATS0dv,CT100,NumRotatableBonds,Eads100,MolWt,FractionCSP3,HeavyAtomMolWt,Chi0
6,9,28,3,100,10,0.739100614,-1.50347098,LUMO,HOMO,CT100,MinPartialCharge,Eads100,NumRotatableBonds,ATS0dv,MolWt,HeavyAtomMolWt,BalabanJ
6,9,29,5,100,5,0.832234966,-1.737969972,LUMO,HOMO,CT100,BalabanJ,Eads100,NumRotatableBonds,ATS0dv,MinPartialCharge,MaxAbsPartialCharge,MolWt
6,10,11,7,200,2,0.878446242,0.360173826,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MaxAbsPartialCharge,Eads100,Kappa1,MolWt,MinPartialCharge
6,10,12,7,100,2,0.881588885,-2.800827077,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,MaxAbsPartialCharge,MinPartialCharge,NumRotatableBonds,HeavyAtomMolWt
6,10,13,5,200,5,0.829985205,0.62554338,LUMO,HOMO,ATS0dv,CT100,MolWt,BalabanJ,MaxAbsPartialCharge,HeavyAtomMolWt,Eads100,NumRotatableBonds
6,10,14,7,100,2,0.883025761,-8.057302672,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,MinPartialCharge,HeavyAtomMolWt,LabuteASA,MaxAbsPartialCharge
6,10,15,7,300,2,0.878989305,0.750237805,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,Eads100,MinPartialCharge,Kappa1,MaxAbsPartialCharge
6,10,16,5,100,10,0.727566218,0.284958639,LUMO,HOMO,ATS0dv,CT100,MolWt,Eads100,Kappa1,HeavyAtomMolWt,MinPartialCharge,TPSA
6,10,17,3,300,2,0.807890616,0.298827041,LUMO,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,MinPartialCharge,MolWt,TPSA,BalabanJ,Eads100
6,10,18,7,100,5,0.825160285,-0.257579106,LUMO,HOMO,ATS0dv,CT100,MolWt,MaxAbsPartialCharge,BalabanJ,Eads100,MinPartialCharge,Kappa1
6,10,19,7,100,5,0.829628817,-8.832791942,LUMO,HOMO,ATS0dv,CT100,BalabanJ,Eads100,MolWt,SpAbs_A,MaxAbsPartialCharge,NumRotatableBonds
6,10,20,3,200,10,0.742142205,-0.480511459,HOMO,LUMO,ATS0dv,MaxAbsPartialCharge,NumRotatableBonds,CT100,Kappa1,MolWt,TPSA,Eads100
6,10,21,7,300,10,0.797276009,-8.428382911,LUMO,ATS0dv,HOMO,Eads100,MaxAbsPartialCharge,TPSA,CT100,MolWt,MinPartialCharge,Kappa1
6,10,22,7,100,2,0.870818337,0.464986393,LUMO,HOMO,CT100,ATS0dv,Eads100,Kappa1,BalabanJ,TPSA,LabuteASA,MaxAbsPartialCharge
6,10,23,7,100,5,0.825143628,-7.288235337,LUMO,HOMO,ATS0dv,CT100,Eads100,BalabanJ,MolWt,MaxAbsPartialCharge,LabuteASA,Kappa1
6,10,24,7,200,5,0.82948769,0.361474828,HOMO,LUMO,CT100,ATS0dv,MolWt,MaxAbsPartialCharge,Kappa1,Eads100,BalabanJ,TPSA
